Stock,Trade_Date,direction,Entry_Price,Exit_Price,Exit_Type,Exit_Time,Gap,Gap_ATR,Alpha,ATR_14,Prev_Entropy_Norm,Stop_Loss,Raw_Ret_%,Net_Ret_%,PnL/Share,Is_Win,Trades_Today,Capital_Alloc,Shares,PnL_₹,Direction
ADANIENSOL,2023-03-20,1,984.35,1022.35,gap_fill,2023-03-20 09:46:00,-36.25,-0.7558832290735777,0.7558832290735777,47.95714285714285,0.0,864.4571428571429,3.8604,3.7204,38.0,True,2,50000.0,50.0,1860.2077513079698,LONG
ADANIENSOL,2023-03-29,1,964.25,1015.0,gap_fill,2023-03-29 10:13:00,-50.75,-0.7810696421700655,0.7810696421700655,64.975,0.0,801.8125,5.2632,5.1232,50.75,True,3,33333.333333333336,34.0,1707.719298245614,LONG
ADANIENSOL,2023-04-12,-1,1064.1,1050.85,gap_fill,2023-04-12 09:43:00,46.15000000000009,0.7002275929337827,-0.7002275929337827,65.90714285714286,0.0,1228.867857142857,1.2452,1.1052,13.25,True,3,33333.333333333336,31.0,368.3945744447578,SHORT
ADANIENSOL,2023-05-09,1,901.6,901.6,time,2023-05-09 15:00:00,-47.44999999999993,-1.245406824146979,1.245406824146979,38.10000000000003,0.0,806.3499999999999,0.0,-0.14,0.0,False,2,50000.0,55.0,-70.0,LONG
ADANIENSOL,2023-05-22,-1,826.7,826.7,time,2023-05-22 15:00:00,37.39999999999998,0.7931530712716801,-0.7931530712716801,47.15357142857143,0.2642035547780994,944.5839285714286,0.0,-0.14,0.0,False,3,33333.333333333336,40.0,-46.66666666666667,SHORT
ADANIENSOL,2023-05-24,-1,911.4,911.4,time,2023-05-24 15:00:00,43.39999999999998,0.9626871583617203,-0.9626871583617203,45.082142857142856,0.0,1024.1053571428572,0.0,-0.14,0.0,False,3,33333.333333333336,36.0,-46.66666666666667,SHORT
ADANIENSOL,2023-05-25,-1,925.3,911.4,gap_fill,2023-05-25 09:21:00,23.300000000000068,0.5102455811043344,-0.5102455811043344,45.66428571428571,0.0,1039.4607142857142,1.5022,1.3622,13.899999999999977,True,1,100000.0,108.0,1362.2154976764268,SHORT
ADANIENSOL,2023-12-06,-1,1209.9,1166.85,time,2023-12-06 15:00:00,52.59999999999991,0.9725303750660309,-0.9725303750660309,54.085714285714296,0.3724204833263471,1345.1142857142859,3.5581,3.4181,43.05000000000018,True,3,33333.333333333336,27.0,1139.3817670881942,SHORT
ADANIENSOL,2024-06-06,-1,1011.3,1003.25,time,2024-06-06 15:00:00,39.10000000000002,0.5567534580960134,-0.5567534580960134,70.22857142857143,0.49122995928621,1186.8714285714286,0.796,0.656,8.049999999999955,True,1,100000.0,98.0,656.0051418965643,SHORT
ADANIENSOL,2024-11-22,1,658.0,649.0,time,2024-11-22 15:00:00,-39.10000000000002,-0.7081500646830533,0.7081500646830533,55.21428571428572,0.13827560632839214,519.9642857142857,-1.3678,-1.5078,-9.0,False,1,100000.0,151.0,-1507.7811550151976,LONG
ADANIGREEN,2020-01-02,-1,178.5,183.45,time,2020-01-02 15:00:00,4.400000000000006,0.704000000000001,-0.704000000000001,6.25,0.19766582769297794,194.125,-2.7731,-2.9131,-4.949999999999989,False,1,100000.0,560.0,-2913.1092436974723,SHORT
ADANIGREEN,2020-01-03,-1,191.5,183.45,gap_fill,2020-01-03 09:26:00,4.350000000000023,0.6751662971175202,-0.6751662971175202,6.442857142857142,0.0,207.60714285714286,4.2037,4.0637,8.050000000000011,True,1,100000.0,522.0,4063.655352480424,SHORT
ADANIGREEN,2020-01-06,-1,197.35,192.6,gap_fill,2020-01-06 09:26:00,7.400000000000006,1.0848167539267026,-1.0848167539267026,6.821428571428569,0.0,214.4035714285714,2.4069,2.2669,4.75,True,2,50000.0,253.0,1133.4456549277934,SHORT
ADANIGREEN,2020-01-08,-1,221.1,221.1,time,2020-01-08 15:00:00,5.200000000000017,0.6508717031738959,-0.6508717031738959,7.989285714285712,0.0,241.07321428571427,0.0,-0.14,0.0,False,3,33333.333333333336,150.0,-46.66666666666667,SHORT
ADANIGREEN,2020-01-09,-1,232.15,232.15,time,2020-01-09 15:00:00,11.050000000000011,1.2994540109197836,-1.2994540109197836,8.503571428571425,0.0,253.40892857142856,0.0,-0.14,0.0,False,3,33333.333333333336,143.0,-46.66666666666667,SHORT
ADANIGREEN,2020-01-10,-1,243.75,232.15,gap_fill,2020-01-10 09:30:00,11.599999999999994,1.271730618637431,-1.271730618637431,9.12142857142857,0.0,266.55357142857144,4.759,4.619,11.599999999999994,True,1,100000.0,410.0,4618.974358974357,SHORT
ADANIGREEN,2020-01-13,1,209.55,209.55,time,2020-01-13 15:00:00,-11.0,-1.0363391655450878,1.0363391655450878,10.614285714285712,0.0,183.01428571428573,0.0,-0.14,0.0,False,1,100000.0,477.0,-140.0,LONG
ADANIGREEN,2020-01-14,1,199.1,199.1,time,2020-01-14 15:00:00,-10.450000000000017,-0.9631336405529971,0.9631336405529971,10.849999999999998,0.0,171.975,0.0,-0.14,0.0,False,1,100000.0,502.0,-140.0,LONG
